"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","tal",,,,"User:","paul"
"Cmdline:","pcp-dstat -tcdr --output metrics-20240801-17:42:46.csv",,,,"Date:","01 Aug 2024 17:42:46 PDT"
"system","total usage",,,,,"dsk/total",,"io/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","read","writ"
01-08 17:42:46,,,,
01-08 17:42:47,0.832,0.749,97.709,0.250,0,0,167.786,0,17.977
01-08 17:42:48,1.417,1.000,97.244,0,0,0,0,0,0
01-08 17:42:49,2.502,1.001,94.982,0.334,0,0,108.074,0,25.017
01-08 17:42:50,2.915,3.581,93.030,0,0,0,0,0,0
01-08 17:42:51,2.668,2.168,95.225,0.417,0,0,128.079,0,41.025
01-08 17:42:52,0.917,0.167,98.022,0.417,0,0,156.035,0,33.007
01-08 17:42:53,0.749,0.832,97.895,0.166,0,0,31.966,0,12.986
01-08 17:42:54,1.667,0.584,97.381,0.083,0,0,60.030,0,16.008
01-08 17:42:55,1.249,0.333,97.538,0.167,0,0,31.985,0,11.994
01-08 17:42:56,0.917,0.500,98.445,0.167,0,0,72.021,0,15.004
01-08 17:42:57,1.167,0.417,97.757,0.250,0,0,44.003,0,15.001
01-08 17:42:58,1.250,0.666,97.711,0,0,0,3.998,0,1.000
01-08 17:42:59,0.667,0.667,97.601,0.250,0,0,156.028,0,36.007
01-08 17:43:00,1.750,1.083,96.255,0.167,0,0,24.001,0,9.000
01-08 17:43:01,1.000,0.333,97.997,0.250,0,0,59.998,0,15.000
01-08 17:43:02,0.750,0.250,98.917,0,0,0,8.000,0,2.000
01-08 17:43:03,1.083,0.417,97.422,0.333,0,0,120.007,0,17.001
01-08 17:43:04,1.000,0.583,97.888,0.167,0,0,35.989,0,12.996
01-08 17:43:05,2.000,0.500,97.190,0.167,0,0,56.013,0,15.004
01-08 17:43:06,2.002,0.584,96.577,0.417,0,0,336.267,0,31.025
01-08 17:43:07,1.082,0.499,97.631,0.250,0,0,59.927,0,16.979
01-08 17:43:08,1.584,0.750,97.685,0,0,0,308.058,0,30.006
01-08 17:43:09,1.500,0.750,96.838,0.333,0,0,144.007,0,38.002
01-08 17:43:10,0.917,0.500,98.437,0,0,0,0,0,0
01-08 17:43:11,1.167,0.583,97.499,0.167,0,0,59.999,0,15.000
01-08 17:43:12,1.083,0.500,97.916,0.167,0,0,179.999,0,11.000
01-08 17:43:13,1.000,0.583,97.581,0.083,0,0,55.998,0,14.000
01-08 17:43:14,1.333,0.583,98.084,0.167,0,0,264.002,0,50.000
01-08 17:43:15,1.000,0.250,97.752,0.500,0,0,80.001,0,24.000
01-08 17:43:16,1.167,0.250,98.001,0,0,0,0,0,0
01-08 17:43:17,0.917,0.583,97.754,0.250,0,0,80.004,0,24.001
01-08 17:43:18,1.750,0.417,97.241,0.083,0,0,59.994,0,3.000
01-08 17:43:19,1.501,0.834,96.511,0.334,0,0,116.114,0,25.025
01-08 17:43:20,0.833,0.500,98.267,0.416,0,0,675.543,0,36.975
01-08 17:43:21,0.583,0.167,98.041,0.500,0,0,279.880,0,32.986
01-08 17:43:22,0.583,0.417,98.743,0.167,0,0,23.998,0,8.999
01-08 17:43:23,1.167,0.333,97.941,0.167,0,0,60.015,0,15.004
01-08 17:43:24,1.083,0.417,98.003,0.083,0,0,52.002,0,17.001
01-08 17:43:25,0.750,0.167,98.241,0.333,0,0,339.970,0,33.997
01-08 17:43:26,0.583,0.583,98.419,0,0,0,0,0,0
01-08 17:43:27,1.167,0.583,97.164,0.417,0,0,251.993,0,28.999
01-08 17:43:28,1.250,0.750,97.920,0,0,0,0,0,0
01-08 17:43:29,1.168,1.168,96.338,0.334,0,0,64.058,0,26.024
01-08 17:43:30,0.666,0.333,98.235,0.166,0,0,123.876,0,22.977
01-08 17:43:31,0.917,0.250,98.415,0.167,0,0,31.999,0,13.000
01-08 17:43:32,0.417,0.250,98.337,0.417,0,0,180.007,0,20.001
01-08 17:43:33,1.250,0.583,97.900,0.333,0,0,71.987,0,15.997
01-08 17:43:34,1.167,0.583,97.936,0.083,0,0,12.002,0,6.001
01-08 17:43:35,0.833,0.333,98.233,0.250,0,0,83.986,0,22.996
01-08 17:43:36,0.750,0.667,98.347,0.083,0,0,36.005,0,11.002
01-08 17:43:37,1.167,0.500,97.588,0.333,0,0,152.007,0,42.002
01-08 17:43:38,0.833,0.750,98.140,0.083,0,0,7.998,0,1.999
01-08 17:43:39,1.417,0.417,97.275,0.417,0,0,152.038,0,28.007
01-08 17:43:40,0.583,0.583,98.674,0,0,0,0,0,0
