Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,UpdateEmployee,1722222852.063541,5928,0,1
3,UpdateEmployee,1722222852.069504,1165,0,1
3,UpdateEmployee,1722222852.070677,892,0,1
1,InsertPosition,1722222852.071576,1682,0,1
1,InsertPosition,1722222852.073265,774,0,1
4,DeleteEmployee,1722222852.074044,2127,0,1
3,UpdateEmployee,1722222852.076178,895,0,1
1,InsertPosition,1722222852.077078,712,0,1
3,UpdateEmployee,1722222852.077796,1248,0,1
3,UpdateEmployee,1722222852.079052,776,0,1
2,UpdatePosition,1722222852.079833,1014,0,1
4,DeleteEmployee,1722222852.080853,1799,0,1
1,InsertPosition,1722222852.082666,842,0,1
1,InsertPosition,1722222852.083514,896,0,1
4,DeleteEmployee,1722222852.084415,1786,0,1
1,InsertPosition,1722222852.086209,807,0,1
4,DeleteEmployee,1722222852.087022,2108,0,1
2,UpdatePosition,1722222852.089153,1441,0,1
4,DeleteEmployee,1722222852.090605,2235,0,1
1,InsertPosition,1722222852.092852,774,0,1
4,DeleteEmployee,1722222852.093631,1589,0,1
1,InsertPosition,1722222852.095224,630,0,1
1,InsertPosition,1722222852.095859,622,0,1
3,UpdateEmployee,1722222852.096486,682,0,1
3,UpdateEmployee,1722222852.097172,636,0,1
4,DeleteEmployee,1722222852.097813,1568,0,1
2,UpdatePosition,1722222852.099385,971,0,1
3,UpdateEmployee,1722222852.100361,822,0,1
2,UpdatePosition,1722222852.101190,906,0,1
2,UpdatePosition,1722222852.102101,958,0,1
2,UpdatePosition,1722222852.103064,728,0,1
4,DeleteEmployee,1722222852.103797,1590,0,1
3,UpdateEmployee,1722222852.105393,789,0,1
3,UpdateEmployee,1722222852.106186,674,0,1
3,UpdateEmployee,1722222852.106865,636,0,1
1,InsertPosition,1722222852.107505,720,0,1
4,DeleteEmployee,1722222852.108229,1591,0,1
2,UpdatePosition,1722222852.109826,853,0,1
2,UpdatePosition,1722222852.110684,833,0,1
2,UpdatePosition,1722222852.111521,849,0,1
4,DeleteEmployee,1722222852.112376,1592,0,1
2,UpdatePosition,1722222852.113973,963,0,1
3,UpdateEmployee,1722222852.114943,764,0,1
2,UpdatePosition,1722222852.115715,828,0,1
3,UpdateEmployee,1722222852.116548,747,0,1
1,InsertPosition,1722222852.117300,693,0,1
4,DeleteEmployee,1722222852.117997,1540,0,1
1,InsertPosition,1722222852.119541,650,0,1
2,UpdatePosition,1722222852.120196,735,0,1
4,DeleteEmployee,1722222852.120935,1461,0,1
2,UpdatePosition,1722222852.122399,754,0,1
3,UpdateEmployee,1722222852.123158,635,0,1
4,DeleteEmployee,1722222852.123797,1419,0,1
2,UpdatePosition,1722222852.125220,703,0,1
4,DeleteEmployee,1722222852.125927,1490,0,1
2,UpdatePosition,1722222852.127420,660,0,1
2,UpdatePosition,1722222852.128085,697,0,1
1,InsertPosition,1722222852.128786,637,0,1
4,DeleteEmployee,1722222852.129427,1628,0,1
2,UpdatePosition,1722222852.131060,7223,0,1
2,UpdatePosition,1722222852.138287,782,0,1
1,InsertPosition,1722222852.139074,720,0,1
3,UpdateEmployee,1722222852.139798,713,0,1
2,UpdatePosition,1722222852.140515,808,0,1
3,UpdateEmployee,1722222852.141332,713,0,1
1,InsertPosition,1722222852.142049,640,0,1
3,UpdateEmployee,1722222852.142693,726,0,1
2,UpdatePosition,1722222852.143422,638,0,1
1,InsertPosition,1722222852.144064,610,0,1
2,UpdatePosition,1722222852.144677,634,0,1
2,UpdatePosition,1722222852.145315,714,0,1
3,UpdateEmployee,1722222852.146032,686,0,1
3,UpdateEmployee,1722222852.146722,705,0,1
2,UpdatePosition,1722222852.147430,714,0,1
3,UpdateEmployee,1722222852.148148,703,0,1
1,InsertPosition,1722222852.148855,652,0,1
2,UpdatePosition,1722222852.149513,830,0,1
3,UpdateEmployee,1722222852.150347,723,0,1
1,InsertPosition,1722222852.151073,616,0,1
1,InsertPosition,1722222852.151692,633,0,1
3,UpdateEmployee,1722222852.152328,695,0,1
2,UpdatePosition,1722222852.153026,753,0,1
2,UpdatePosition,1722222852.153782,683,0,1
3,UpdateEmployee,1722222852.154468,623,0,1
2,UpdatePosition,1722222852.155093,818,0,1
2,UpdatePosition,1722222852.155914,717,0,1
1,InsertPosition,1722222852.156634,624,0,1
2,UpdatePosition,1722222852.157261,817,0,1
4,DeleteEmployee,1722222852.158081,1492,0,1
