Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,939.000,3.061,0.141,0.293,0.479,6.100,6.294,6.414,7.769,19.645,0.327
5,883.600,3.320,0.145,0.287,0.557,6.351,6.613,7.429,8.486,10.989,0.301
10,1453.200,2.074,0.149,0.254,0.463,3.546,4.984,5.490,6.577,11.575,0.482
15,1674.000,1.730,0.144,0.246,0.357,3.484,3.578,3.624,3.811,7.573,0.578
20,1650.200,1.749,0.140,0.243,0.334,3.501,3.589,3.648,3.840,7.836,0.572
25,1632.000,1.802,0.140,0.251,0.421,3.504,3.613,3.740,4.173,11.591,0.555
30,1667.000,1.778,0.143,0.241,0.359,3.514,3.606,3.713,4.547,12.714,0.562
35,1668.000,1.721,0.145,0.239,0.342,3.499,3.586,3.673,3.976,7.761,0.581
40,1668.400,1.765,0.141,0.232,0.324,3.498,3.588,3.689,4.449,7.681,0.567
45,1685.200,1.753,0.140,0.233,0.339,3.492,3.579,3.640,3.854,7.710,0.570
50,1668.200,1.719,0.141,0.233,0.308,3.489,3.575,3.621,3.817,7.791,0.582
55,1679.600,1.764,0.140,0.238,0.318,3.514,3.601,3.702,4.043,13.783,0.567
60,1673.800,1.777,0.142,0.235,0.317,3.510,3.592,3.675,3.892,18.747,0.563
65,1666.200,1.768,0.136,0.240,0.389,3.486,3.574,3.615,3.782,7.838,0.565
70,1667.400,1.758,0.142,0.230,0.326,3.498,3.586,3.629,3.806,7.578,0.569
75,1611.000,1.832,0.146,0.246,0.491,3.515,3.614,3.754,4.168,10.660,0.546
80,1696.600,1.770,0.135,0.236,0.309,3.516,3.599,3.683,3.974,7.584,0.565
85,1673.000,1.740,0.134,0.237,0.341,3.496,3.584,3.638,3.812,7.531,0.575
90,1650.600,1.743,0.140,0.232,0.316,3.493,3.577,3.641,4.054,8.907,0.574
95,1660.600,1.767,0.137,0.234,0.340,3.504,3.599,3.666,4.043,7.959,0.566
100,1669.000,1.749,0.136,0.235,0.355,3.508,3.592,3.642,3.804,7.580,0.572
105,1390.400,2.121,0.140,0.241,0.360,3.556,5.459,6.114,6.406,33.737,0.471
110,964.000,3.023,0.133,0.267,0.379,6.157,6.350,6.464,7.585,10.764,0.331
115,937.000,3.096,0.139,0.283,0.444,6.128,6.305,6.439,9.314,11.271,0.323
120,894.800,3.241,0.142,0.307,0.504,6.239,6.481,6.619,8.103,35.610,0.309
125,885.000,3.222,0.137,0.321,0.495,6.175,6.447,6.571,8.305,50.938,0.310
130,981.200,2.946,0.139,0.279,0.444,5.975,6.130,6.236,7.198,10.020,0.339
135,969.200,2.903,0.142,0.265,0.362,5.914,6.078,6.190,7.430,11.943,0.344
140,957.200,2.997,0.140,0.267,0.378,6.049,6.203,6.352,7.192,10.092,0.334
145,972.400,3.000,0.143,0.278,0.466,5.978,6.119,6.243,7.454,10.204,0.333
150,912.200,3.181,0.138,0.276,0.459,6.126,6.480,6.614,7.867,33.879,0.314
155,935.000,3.199,0.141,0.316,0.508,6.116,6.447,6.560,7.976,59.223,0.313
160,969.800,2.984,0.141,0.305,0.462,6.024,6.185,6.287,7.174,11.623,0.335
165,967.000,3.071,0.140,0.289,0.491,6.053,6.204,6.330,7.484,11.496,0.326
170,966.000,2.963,0.143,0.266,0.322,6.079,6.306,6.478,7.604,10.082,0.338
175,927.200,3.064,0.144,0.272,0.332,6.217,6.368,6.483,7.869,10.526,0.326
180,909.600,3.178,0.141,0.271,0.337,6.277,6.490,6.621,7.945,29.163,0.315
185,953.800,3.022,0.140,0.270,0.334,6.018,6.327,6.460,7.629,33.601,0.331
190,990.200,2.901,0.136,0.295,0.459,5.842,5.995,6.060,7.342,9.928,0.345
195,956.800,2.996,0.141,0.287,0.449,6.028,6.166,6.309,7.296,10.467,0.334
200,1015.200,2.900,0.141,0.260,0.372,5.891,6.042,6.103,7.180,10.392,0.345
205,995.400,2.991,0.143,0.265,0.390,5.977,6.125,6.187,7.024,9.934,0.334
210,949.600,3.057,0.141,0.261,0.374,6.099,6.305,6.445,7.784,29.435,0.327
215,994.800,2.932,0.143,0.261,0.365,5.719,6.195,6.352,7.783,52.870,0.341
220,960.200,3.013,0.138,0.270,0.354,6.036,6.182,6.295,7.620,16.614,0.332
225,946.200,3.107,0.136,0.268,0.344,6.068,6.199,6.316,7.338,10.490,0.322
230,916.000,3.132,0.142,0.268,0.341,6.109,6.380,6.510,7.693,12.183,0.319
235,921.200,3.108,0.141,0.270,0.340,6.200,6.346,6.470,7.506,11.131,0.322
240,938.800,3.095,0.137,0.271,0.340,6.221,6.426,6.518,7.845,39.965,0.323
245,949.400,3.060,0.139,0.264,0.348,6.024,6.173,6.306,7.512,43.776,0.327
250,907.800,3.275,0.140,0.271,0.390,5.979,6.221,8.770,11.246,14.237,0.305
255,965.600,2.978,0.142,0.265,0.342,5.991,6.143,6.254,7.474,10.614,0.336
260,960.000,2.982,0.132,0.267,0.353,5.967,6.128,6.230,7.369,10.136,0.335
265,965.400,3.003,0.144,0.268,0.345,6.001,6.181,6.276,6.495,10.187,0.333
270,912.600,3.007,0.133,0.261,0.335,6.175,6.449,6.591,7.488,11.606,0.333
275,936.400,3.134,0.142,0.264,0.375,6.157,6.384,6.528,7.880,32.860,0.319
280,942.800,3.063,0.140,0.266,0.376,6.036,6.174,6.313,7.645,45.697,0.326
285,981.000,2.967,0.143,0.268,0.348,6.025,6.174,6.295,7.500,10.087,0.337
290,937.600,3.144,0.140,0.270,0.384,6.176,6.401,6.537,7.830,16.782,0.318
295,922.200,3.133,0.135,0.265,0.387,6.208,6.371,6.486,7.626,10.214,0.319
300,936.400,3.162,0.145,0.267,0.383,6.283,6.460,6.563,7.994,10.158,0.316
305,945.200,3.104,0.142,0.273,0.397,6.024,6.333,6.456,7.606,30.105,0.322
310,949.600,3.015,0.140,0.266,0.350,5.924,6.119,6.216,7.030,45.316,0.332
315,1005.400,2.923,0.143,0.261,0.350,5.964,6.130,6.255,7.036,10.203,0.342
320,968.000,2.908,0.135,0.261,0.371,5.939,6.094,6.221,7.150,10.186,0.344
325,967.400,3.002,0.140,0.265,0.365,6.002,6.173,6.291,7.445,10.459,0.333
330,941.600,3.108,0.138,0.267,0.356,6.150,6.406,6.543,7.808,10.276,0.322
335,906.600,3.240,0.142,0.269,0.396,6.251,6.508,6.619,8.027,45.536,0.309
340,929.400,3.121,0.135,0.269,0.393,6.054,6.236,6.353,7.766,43.453,0.320
345,972.400,3.033,0.139,0.269,0.424,6.064,6.234,6.327,7.485,9.743,0.330
350,955.800,3.102,0.137,0.275,0.420,6.132,6.419,6.519,7.601,17.817,0.322
355,931.400,3.112,0.139,0.266,0.381,6.244,6.397,6.528,7.626,10.949,0.321
360,926.200,3.196,0.133,0.267,0.355,6.307,6.516,6.656,7.841,13.733,0.313
365,912.000,3.107,0.142,0.264,0.340,6.126,6.454,6.579,7.795,34.225,0.322
370,974.000,3.037,0.143,0.264,0.351,5.951,6.122,6.234,7.565,45.307,0.329
375,966.600,3.029,0.146,0.275,0.369,6.016,6.171,6.340,7.662,12.448,0.330
