Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,959.200,3.732,0.134,0.292,5.694,6.169,6.323,6.440,7.695,19.709,0.268
5,890.800,3.990,0.123,0.304,5.957,6.426,6.646,7.826,8.446,11.226,0.251
10,1406.000,2.430,0.134,0.256,3.191,3.569,5.101,5.564,6.646,11.817,0.412
15,1684.400,2.120,0.134,0.249,3.129,3.523,3.597,3.646,3.830,7.581,0.472
20,1680.000,2.122,0.128,0.241,3.138,3.532,3.605,3.698,3.868,8.045,0.471
25,1633.600,2.202,0.134,0.259,3.178,3.544,3.648,3.785,4.279,11.577,0.454
30,1642.000,2.161,0.131,0.242,3.147,3.544,3.620,3.741,5.049,10.582,0.463
35,1656.600,2.126,0.129,0.244,3.124,3.528,3.603,3.737,4.012,7.742,0.470
40,1647.600,2.134,0.124,0.232,3.157,3.521,3.596,3.730,4.469,7.668,0.469
45,1699.800,2.107,0.126,0.232,3.120,3.520,3.593,3.707,3.959,7.748,0.475
50,1696.400,2.098,0.121,0.230,3.124,3.524,3.588,3.657,3.831,7.754,0.477
55,1657.600,2.105,0.128,0.232,3.135,3.538,3.611,3.737,4.083,11.174,0.475
60,1606.000,2.173,0.126,0.235,3.178,3.538,3.608,3.727,4.068,18.770,0.460
65,1662.600,2.127,0.127,0.247,3.135,3.521,3.584,3.632,3.828,7.924,0.470
70,1679.800,2.103,0.121,0.229,3.150,3.530,3.594,3.640,3.799,7.576,0.476
75,1646.600,2.177,0.120,0.242,3.188,3.544,3.635,3.784,4.171,8.129,0.459
80,1652.400,2.114,0.128,0.229,3.158,3.546,3.614,3.737,3.980,7.507,0.473
85,1675.200,2.088,0.127,0.237,3.113,3.528,3.596,3.662,3.825,7.530,0.479
90,1700.000,2.137,0.126,0.233,3.155,3.521,3.592,3.711,4.093,8.983,0.468
95,1661.400,2.138,0.123,0.235,3.143,3.539,3.611,3.738,4.918,7.970,0.468
100,1632.200,2.155,0.121,0.241,3.169,3.540,3.603,3.680,3.824,7.551,0.464
105,1381.800,2.524,0.130,0.238,3.224,3.582,5.761,6.140,6.466,33.385,0.396
110,954.200,3.821,0.129,0.286,5.808,6.226,6.391,6.515,7.862,10.749,0.262
115,952.400,3.738,0.129,0.308,5.705,6.186,6.352,6.471,8.019,12.054,0.268
120,912.200,3.834,0.127,0.345,5.768,6.277,6.512,6.672,8.146,31.537,0.261
125,908.000,3.976,0.125,0.355,5.792,6.259,6.469,6.606,8.397,50.796,0.251
130,955.000,3.652,0.126,0.315,5.559,6.032,6.168,6.279,7.457,10.026,0.274
135,982.600,3.637,0.130,0.275,5.566,5.974,6.113,6.235,7.574,14.704,0.275
140,972.000,3.660,0.127,0.282,5.652,6.097,6.220,6.394,7.712,10.060,0.273
145,973.600,3.639,0.121,0.314,5.544,6.032,6.147,6.287,7.484,10.225,0.275
150,931.200,3.776,0.126,0.321,5.718,6.194,6.517,6.630,7.742,33.861,0.265
155,909.000,3.861,0.130,0.351,5.683,6.179,6.484,6.619,8.001,59.320,0.259
160,965.600,3.618,0.130,0.341,5.556,6.077,6.213,6.329,7.542,11.746,0.276
165,951.400,3.694,0.130,0.320,5.623,6.100,6.233,6.367,7.715,11.586,0.271
170,967.200,3.722,0.126,0.266,5.738,6.139,6.367,6.556,7.617,10.048,0.269
175,921.000,3.822,0.129,0.267,5.897,6.271,6.403,6.518,7.984,10.477,0.262
180,927.000,3.885,0.131,0.268,5.932,6.323,6.505,6.632,8.103,29.337,0.257
185,935.200,3.769,0.129,0.265,5.645,6.083,6.362,6.532,7.838,46.150,0.265
190,1000.400,3.563,0.130,0.322,5.416,5.916,6.012,6.096,7.408,10.097,0.281
195,954.600,3.717,0.127,0.321,5.647,6.093,6.207,6.347,7.568,10.317,0.269
200,989.200,3.524,0.128,0.276,5.485,5.943,6.058,6.113,7.404,10.358,0.284
205,969.200,3.597,0.128,0.275,5.556,6.012,6.131,6.191,7.290,9.888,0.278
210,965.400,3.798,0.126,0.282,5.720,6.165,6.363,6.474,7.912,29.774,0.263
215,990.800,3.578,0.129,0.275,5.018,5.940,6.233,6.390,8.037,52.931,0.279
220,960.600,3.678,0.133,0.271,5.671,6.083,6.214,6.330,7.682,16.893,0.272
225,944.200,3.685,0.130,0.265,5.714,6.096,6.234,6.353,7.628,10.501,0.271
230,941.400,3.788,0.125,0.266,5.782,6.161,6.425,6.570,7.735,16.282,0.264
235,947.000,3.773,0.128,0.265,5.823,6.242,6.389,6.528,7.858,11.104,0.265
240,918.800,3.948,0.132,0.269,5.915,6.287,6.456,6.558,8.035,39.943,0.253
245,945.200,3.703,0.132,0.267,5.655,6.056,6.243,6.346,7.692,48.285,0.270
250,908.600,3.898,0.126,0.272,5.606,6.022,6.290,9.034,11.480,17.114,0.257
255,980.000,3.695,0.128,0.268,5.626,6.036,6.162,6.291,7.579,10.594,0.271
260,983.400,3.567,0.127,0.265,5.559,6.006,6.146,6.249,7.453,10.152,0.280
265,971.600,3.643,0.127,0.265,5.649,6.056,6.200,6.306,7.577,10.430,0.274
