Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,959.800,3.679,0.116,0.264,5.659,6.164,6.322,6.434,7.763,19.712,0.272
5,894.600,3.911,0.112,0.275,5.902,6.424,6.639,7.879,8.486,11.197,0.256
10,1449.000,2.446,0.113,0.228,3.205,3.571,5.094,5.623,6.673,11.815,0.409
15,1671.200,2.101,0.108,0.225,3.094,3.520,3.594,3.647,3.833,7.613,0.476
20,1666.400,2.119,0.107,0.217,3.143,3.533,3.601,3.682,3.854,8.055,0.472
25,1611.800,2.136,0.117,0.229,3.133,3.535,3.633,3.774,4.482,11.369,0.468
30,1630.600,2.128,0.115,0.218,3.131,3.542,3.620,3.745,5.488,13.195,0.470
35,1673.000,2.148,0.112,0.222,3.161,3.530,3.610,3.750,4.026,7.808,0.466
40,1666.200,2.116,0.110,0.208,3.141,3.519,3.598,3.733,4.495,7.717,0.473
45,1665.800,2.072,0.111,0.209,3.119,3.518,3.590,3.695,3.939,7.760,0.483
50,1687.200,2.112,0.109,0.210,3.143,3.523,3.587,3.649,3.829,7.768,0.473
55,1661.800,2.126,0.109,0.211,3.147,3.537,3.609,3.741,4.154,13.729,0.470
60,1628.000,2.166,0.111,0.214,3.188,3.540,3.606,3.730,4.017,19.070,0.462
65,1675.200,2.091,0.111,0.225,3.107,3.520,3.583,3.625,3.820,7.885,0.478
70,1692.400,2.084,0.110,0.206,3.145,3.527,3.588,3.628,3.808,7.567,0.480
75,1610.200,2.144,0.113,0.219,3.166,3.545,3.637,3.788,4.106,8.012,0.466
80,1639.200,2.133,0.112,0.209,3.180,3.545,3.610,3.748,3.981,7.729,0.469
85,1697.800,2.109,0.109,0.215,3.135,3.529,3.594,3.675,3.818,7.634,0.474
90,1673.400,2.079,0.115,0.210,3.116,3.520,3.585,3.682,4.033,8.992,0.481
95,1658.000,2.112,0.109,0.212,3.138,3.537,3.612,3.732,4.109,7.984,0.473
100,1692.200,2.099,0.114,0.213,3.145,3.537,3.600,3.658,3.819,7.570,0.476
105,1368.400,2.597,0.110,0.217,3.257,3.600,5.795,6.149,6.444,33.743,0.385
110,920.800,3.728,0.110,0.253,5.768,6.216,6.372,6.509,7.822,10.761,0.268
115,943.600,3.742,0.112,0.292,5.725,6.183,6.340,6.468,7.989,11.211,0.267
120,919.400,3.908,0.112,0.328,5.794,6.294,6.526,6.674,9.146,31.832,0.256
125,891.200,3.959,0.112,0.334,5.773,6.271,6.457,6.582,8.335,50.798,0.253
130,984.600,3.673,0.114,0.294,5.583,6.027,6.154,6.264,7.238,10.020,0.272
135,989.600,3.642,0.113,0.248,5.565,5.976,6.103,6.226,7.618,11.933,0.275
140,973.200,3.665,0.113,0.267,5.660,6.101,6.217,6.373,7.547,10.119,0.273
145,967.400,3.648,0.116,0.290,5.557,6.024,6.128,6.255,7.506,10.195,0.274
150,953.400,3.750,0.116,0.294,5.711,6.193,6.514,6.636,7.730,33.859,0.267
