Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,28.800,0.227,0.095,0.167,0.210,0.270,0.327,0.382,0.571,0.774,4.399
5,27.400,0.218,0.092,0.144,0.199,0.257,0.347,0.440,0.536,0.577,4.583
10,45.600,0.186,0.088,0.134,0.171,0.215,0.290,0.346,0.407,0.429,5.363
15,47.400,0.156,0.078,0.122,0.146,0.178,0.217,0.247,0.317,0.366,6.429
20,51.000,0.159,0.086,0.127,0.155,0.184,0.209,0.245,0.321,0.376,6.289
25,55.400,0.175,0.086,0.131,0.161,0.194,0.244,0.322,0.419,0.764,5.725
30,50.000,0.158,0.083,0.122,0.150,0.174,0.217,0.246,0.377,0.611,6.335
35,49.000,0.165,0.082,0.127,0.156,0.184,0.219,0.257,0.423,0.527,6.060
40,49.600,0.152,0.082,0.126,0.147,0.175,0.205,0.220,0.252,0.301,6.562
45,41.200,0.151,0.083,0.118,0.141,0.176,0.214,0.232,0.279,0.383,6.621
50,53.800,0.147,0.083,0.120,0.143,0.168,0.190,0.208,0.238,0.376,6.820
55,52.800,0.147,0.082,0.116,0.141,0.173,0.196,0.216,0.286,0.339,6.825
60,50.400,0.153,0.078,0.124,0.149,0.181,0.205,0.223,0.271,0.305,6.515
65,48.600,0.162,0.080,0.114,0.147,0.196,0.249,0.278,0.401,0.440,6.179
70,50.600,0.148,0.082,0.115,0.143,0.173,0.203,0.217,0.243,0.312,6.779
75,44.200,0.182,0.086,0.129,0.161,0.190,0.216,0.260,0.722,2.783,5.507
80,46.200,0.149,0.080,0.121,0.145,0.176,0.199,0.210,0.223,0.278,6.700
85,51.600,0.154,0.081,0.122,0.150,0.174,0.211,0.230,0.301,0.412,6.479
90,47.800,0.154,0.082,0.119,0.149,0.181,0.211,0.228,0.312,0.341,6.494
95,44.400,0.155,0.081,0.117,0.149,0.186,0.217,0.239,0.310,0.392,6.442
