Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2174,2174.000,133,552,6265,4609,6567,6636,6716,9879,12738
1,2200,2200.000,125,453,6239,4540,6604,6798,7577,8689,11478
2,2273,2273.000,120,468,6002,4383,6220,6328,6461,9176,10210
3,2368,2368.000,117,452,5863,4223,6157,6283,6422,7895,9174
4,2370,2370.000,108,445,5857,4216,6160,6258,6384,7813,9397
5,2335,2335.000,107,446,5951,4280,6129,6282,6406,9087,10506
6,2397,2397.000,101,428,5830,4165,6099,6258,6318,7814,9251
7,2313,2313.000,100,537,5971,4323,6252,6330,6408,8048,12525
8,2348,2348.000,101,520,5894,4250,6274,6442,6546,8920,10203
9,2167,2167.000,98,539,5971,4604,6210,6391,6463,7824,59286
10,2190,2190.000,103,549,5947,4761,6191,6361,6440,7947,55963
11,2130,2130.000,91,508,5942,4491,6260,6394,6487,7919,58455
12,2075,2075.000,89,467,5977,4810,6241,6451,7412,11037,56110
13,2156,2156.000,101,482,6133,4633,6327,6440,6562,8005,49220
14,2094,2094.000,106,449,6260,4926,6610,6750,7116,11711,58509
15,2059,2059.000,96,460,5939,4692,6601,6776,6865,8530,61543
16,3335,3335.000,96,404,3426,2992,3606,5304,5441,10652,44555
17,2159,2159.000,96,402,4762,4640,6798,7434,7967,13639,69119
18,2252,2252.000,100,423,5174,4433,6625,6934,7070,11466,64315
19,3402,3402.000,104,394,3489,2933,3663,5595,6768,7656,11208
20,4084,4084.000,100,422,3276,2443,3542,3636,3733,4073,5526
21,4073,4073.000,99,400,3322,2451,3553,3630,3731,3909,7570
22,4051,4051.000,100,389,3370,2462,3542,3698,3923,4654,5541
23,3997,3997.000,112,422,3403,2502,3555,3669,3747,4746,7732
24,4059,4059.000,102,420,3331,2458,3559,3652,3773,4803,6942
25,4096,4096.000,90,402,3321,2439,3543,3620,3746,4397,7529
26,4116,4116.000,104,396,3324,2425,3552,3617,3692,3913,5245
27,4100,4100.000,96,408,3318,2437,3541,3662,3764,4129,7710
28,4028,4028.000,99,410,3388,2477,3566,3656,3773,3987,5481
29,3011,3011.000,102,398,3586,3331,5165,6696,6900,9224,9948
30,3886,3886.000,102,406,3356,2564,3578,3754,5101,7006,9966
31,4135,4135.000,98,399,3268,2410,3509,3570,3632,3866,7215
32,4043,4043.000,105,410,3355,2472,3577,3696,3798,3944,7464
33,4016,4016.000,95,417,3356,2487,3544,3615,3697,4149,10346
34,4084,4084.000,98,406,3316,2446,3569,3624,3653,4040,7579
35,4102,4102.000,99,396,3298,2433,3545,3604,3642,4061,5444
36,4076,4076.000,100,399,3342,2452,3569,3644,3757,3921,7654
37,4135,4135.000,90,418,3282,2415,3573,3672,3805,3977,5428
38,4043,4043.000,99,413,3350,2470,3562,3697,3791,5038,7752
39,4104,4104.000,92,378,3349,2434,3549,3655,3750,3908,5350
40,3681,3681.000,99,388,3463,2726,3743,4316,4872,8489,9986
41,3124,3124.000,98,393,3504,3182,3799,6745,6957,10137,11340
42,3951,3951.000,93,417,3345,2528,3573,3717,3806,6820,11001
43,4108,4108.000,92,389,3338,2433,3587,3682,3794,4669,5522
44,4051,4051.000,100,399,3361,2465,3543,3710,3782,4413,7652
45,4097,4097.000,100,428,3309,2440,3571,3658,3739,4064,7532
46,4091,4091.000,87,390,3353,2440,3530,3613,3743,4028,5468
47,3324,3324.000,99,414,3482,3008,3613,5274,6166,19785,24464
48,2085,2085.000,114,457,6015,4792,6223,6303,7695,25431,35036
49,2345,2345.000,101,450,5923,4269,6238,6307,6360,8025,10901
50,2359,2359.000,106,445,5920,4229,6227,6291,6333,7865,9339
51,2307,2307.000,89,438,6046,4333,6256,6424,6531,9211,10299
52,2267,2267.000,104,461,6093,4407,6264,6449,6560,8084,9777
53,2066,2066.000,102,430,6173,4847,6404,6611,8826,23946,28173
54,2261,2261.000,102,435,6176,4418,6442,6604,6705,8620,10400
55,1999,1999.000,105,438,6283,5008,6413,7960,12255,17653,22593
56,1364,1364.000,111,441,9482,7323,11233,12508,13658,18115,20084
57,2204,2204.000,101,447,6183,4527,6400,6585,6681,8360,9789
58,2247,2247.000,99,440,6062,4451,6237,6489,7842,10399,13347
59,2363,2363.000,116,438,5892,4226,6157,6273,7020,7827,9141
60,2371,2371.000,101,429,5919,4213,6157,6258,6369,7905,9303
61,2326,2326.000,97,426,5897,4300,6080,6149,6222,9140,16453
62,2380,2380.000,85,432,5848,4202,6080,6170,6280,7749,9086
63,2341,2341.000,106,435,5977,4264,6280,6353,6439,7966,9442
64,2327,2327.000,101,443,5940,4301,6258,6345,6462,8900,10273
65,2409,2409.000,109,436,5819,4144,6093,6159,6208,7505,9025
66,2392,2392.000,95,421,5891,4183,6145,6255,6424,7942,10515
67,2326,2326.000,105,450,5976,4293,6229,6387,6480,8465,13343
68,2353,2353.000,105,450,5924,4248,6251,6389,6514,8536,9852
69,2325,2325.000,112,444,6034,4302,6337,6500,6612,8086,9703
70,2176,2176.000,92,476,6277,4597,6586,6765,6926,8683,10242
71,2196,2196.000,87,462,6347,4547,6566,6669,6878,8754,10585
72,2346,2346.000,106,502,5214,4268,5712,6593,6794,20016,23714
73,2298,2298.000,111,479,5921,4342,6389,6551,6703,8363,13668
74,2278,2278.000,98,456,6151,4387,6455,6662,6786,9562,10344
75,2302,2302.000,113,465,6095,4340,6398,6581,6764,8062,9538
76,1197,1197.000,111,434,7927,8415,11825,17415,22022,35902,39115
77,1715,1715.000,113,484,6415,5796,8213,11671,12873,18595,18819
78,2250,2250.000,110,477,6155,4429,6453,6618,6736,8587,10504
79,2097,2097.000,96,499,6245,4775,6485,7720,9503,12574,19416
80,2200,2200.000,93,470,6369,4535,6679,6830,6910,8690,10286
81,2210,2210.000,93,444,6301,4528,6587,6698,6840,9713,10496
82,2283,2283.000,107,439,6178,4377,6500,6667,6814,8054,9882
83,2291,2291.000,114,465,6065,4362,6266,6383,6499,7950,9304
84,2186,2186.000,101,496,6050,4565,6231,6379,7595,12132,12806
85,2323,2323.000,104,491,5907,4309,6100,6289,6352,8944,11691
86,2393,2393.000,107,440,5831,4179,6112,6250,6325,7662,9154
87,2252,2252.000,96,485,6037,4428,6299,6470,6560,8261,9723
88,2286,2286.000,101,519,6039,4378,6282,6417,6513,9233,11651
89,2326,2326.000,111,528,5946,4308,6205,6370,6500,7924,9477
90,2269,2269.000,115,537,6049,4399,6211,6393,6449,7849,9563
91,2331,2331.000,116,506,5924,4295,6192,6348,6427,8921,10215
92,2325,2325.000,98,513,5927,4287,6177,6299,6380,7780,9285
93,2266,2266.000,96,515,6073,4411,6337,6521,6626,8012,9548
94,2266,2266.000,106,481,6119,4416,6378,6553,6670,9228,10559
95,2185,2185.000,105,487,6229,4573,6511,6691,6792,8301,9810
96,2192,2192.000,94,434,6437,4566,6642,6830,6954,8474,9972
97,1319,1319.000,107,507,6671,7572,10800,14193,18736,36373,45525
98,1864,1864.000,108,475,6170,5357,7740,10515,11010,16007,18728
99,2322,2322.000,114,473,5992,4314,6254,6403,6481,7795,9445
100,2156,2156.000,95,454,6204,4620,6369,6645,7942,11028,16224
101,2270,2270.000,103,437,6108,4412,6339,6537,6727,8925,12104
102,2304,2304.000,100,433,6122,4339,6420,6573,6638,8452,9810
103,2140,2140.000,106,480,6337,4665,6490,6619,6687,8265,10052
104,2287,2287.000,101,440,6158,4371,6489,6679,6761,8366,9871
105,2253,2253.000,102,452,6196,4442,6433,6602,6707,9686,10522
106,2213,2213.000,102,456,6292,4521,6572,6735,6824,8829,10157
107,2169,2169.000,112,447,6446,4608,6630,6822,6952,8405,10014
108,2151,2151.000,102,472,6250,4640,6586,6792,6884,9901,10597
109,2318,2318.000,102,459,6021,4327,6233,6358,6422,7896,9394
110,2164,2164.000,97,439,5992,4611,6165,6387,8731,16453,26489
111,2295,2295.000,99,476,5981,4351,6141,6307,6363,8989,10299
112,2365,2365.000,90,460,5922,4235,6122,6288,6392,7891,9195
113,2354,2354.000,93,480,5917,4243,6257,6357,6468,7956,9512
114,2330,2330.000,105,525,5960,4292,6301,6480,6607,7969,9263
115,2164,2164.000,107,491,5943,4607,6198,6422,8832,19338,22156
116,2251,2251.000,94,469,6053,4447,6261,6398,6507,8071,15140
117,2234,2234.000,113,430,6174,4470,6367,6577,6678,8384,9692
118,1778,1778.000,113,437,6292,5637,7947,10006,13585,21809,33230
119,1895,1895.000,110,438,6156,5270,6492,8982,10450,24063,59764
120,2293,2293.000,99,431,6130,4357,6368,6463,6523,8085,9390
121,2175,2175.000,92,424,6156,4601,6406,6753,8154,11666,12432
122,2287,2287.000,97,442,6102,4365,6289,6522,6675,7899,9222
123,2252,2252.000,102,458,6115,4438,6279,6410,6465,7983,9640
124,2261,2261.000,115,465,6109,4420,6321,6453,6537,7817,9597
125,2311,2311.000,101,438,6025,4327,6269,6430,6507,9284,10219
126,2298,2298.000,101,441,6055,4347,6254,6364,6500,8990,10255
127,2301,2301.000,103,442,6068,4349,6303,6440,6544,7978,9619
128,2196,2196.000,101,455,6265,4547,6540,6691,6797,8634,10857
129,2232,2232.000,113,454,6228,4480,6380,6471,6624,8493,9722
130,2266,2266.000,106,452,6211,4416,6465,6628,6702,8372,11291
131,2193,2193.000,104,453,6272,4559,6455,6641,6790,9746,10760
132,2220,2220.000,111,450,6267,4494,6574,6744,6832,8759,14113
133,2207,2207.000,109,475,6307,4529,6571,6708,6795,8339,11469
134,2205,2205.000,108,457,6240,4533,6560,6698,6782,8833,9998
135,2343,2343.000,110,469,5960,4268,6233,6421,6501,7930,10117
136,2377,2377.000,106,423,5874,4212,6165,6319,6416,8869,10613
137,2351,2351.000,90,439,5921,4250,6163,6299,6367,7710,9188
138,2375,2375.000,96,444,5845,4208,6110,6269,6420,8784,10212
139,1572,1572.000,113,440,6017,6388,9331,14045,16605,27034,31299
140,1762,1762.000,114,458,6141,5651,9105,10626,11694,13469,17197
141,2280,2280.000,107,446,6073,4384,6298,6456,6560,9063,14003
142,2164,2164.000,129,480,6220,4624,6491,6807,8505,11424,13533
143,2208,2208.000,105,439,6324,4526,6639,6772,6865,8632,9891
144,2214,2214.000,107,464,5367,4506,6498,6647,6795,20567,21828
145,2324,2324.000,118,451,5858,4299,6324,6453,6543,8104,10327
146,2166,2166.000,89,450,6210,4617,6447,6660,8041,12421,13308
147,2289,2289.000,104,456,6112,4377,6418,6552,6682,9099,9550
148,2286,2286.000,91,458,6111,4364,6389,6567,6666,8362,10468
149,2250,2250.000,111,478,6131,4448,6329,6517,6597,7991,9561
150,2266,2266.000,95,478,6155,4416,6403,6572,6671,8387,9742
151,2219,2219.000,95,467,6236,4502,6422,6606,6681,7982,9636
152,2289,2289.000,93,464,6072,4366,6346,6534,6642,9612,10881
153,2239,2239.000,109,481,6234,4465,6596,6705,6801,8434,9758
154,2200,2200.000,107,514,6322,4539,6543,6697,6806,8353,9947
155,2306,2306.000,94,457,6136,4338,6497,6650,6790,8369,10438
156,2255,2255.000,116,422,6218,4437,6439,6585,6692,8379,9753
157,2184,2184.000,100,442,6329,4578,6618,6756,6886,9343,10056
158,2200,2200.000,99,427,6387,4533,6641,6778,6889,9753,10631
159,2215,2215.000,92,472,6276,4522,6549,6718,6841,8369,9809
160,2125,2125.000,107,457,6055,4723,6426,7815,11505,14594,16440
161,1226,1226.000,107,503,9382,8142,10842,13140,17434,27624,36509
162,2236,2236.000,112,500,6075,4449,6265,6448,6824,10232,11951
163,2229,2229.000,106,485,6037,4508,6243,6457,7793,10955,12123
164,2355,2355.000,100,452,5930,4240,6229,6449,6979,8067,11077
165,2318,2318.000,112,471,5979,4308,6236,6402,6524,9132,10302
166,2310,2310.000,103,478,6016,4318,6210,6401,6498,7952,9363
167,2316,2316.000,95,485,6031,4324,6317,6489,6611,7720,11282
168,2229,2229.000,94,506,6207,4481,6440,6627,6747,9332,10924
169,2235,2235.000,98,486,6211,4480,6587,6699,6783,9404,11749
170,2249,2249.000,95,447,6294,4437,6603,6740,6825,8340,10970
171,2337,2337.000,91,486,5264,4309,5649,6357,6668,20545,35371
172,2120,2120.000,94,529,6123,4680,6346,6610,6748,13498,31363
173,2295,2295.000,93,528,6019,4364,6327,6479,6581,7966,10604
174,2209,2209.000,103,558,6145,4512,6303,6493,6612,8080,9569
175,2304,2304.000,93,526,6007,4352,6285,6378,6525,8132,11095
176,2326,2326.000,114,510,5908,4290,6261,6348,6407,7976,9277
177,2038,2038.000,107,493,6268,4913,6562,6735,6861,22832,25791
178,2187,2187.000,102,480,6289,4569,6500,6669,6787,9527,12684
179,2184,2184.000,118,477,6282,4567,6469,6611,6738,8283,10551
180,2230,2230.000,101,482,6198,4496,6432,6623,6721,8242,9696
181,2171,2171.000,95,463,6348,4603,6624,6756,6927,8605,9819
182,1494,1494.000,103,468,6625,6674,10507,13434,16560,22945,23856
183,1954,1954.000,110,488,6064,5131,6361,10487,11413,17571,19383
184,2383,2383.000,101,460,5857,4189,6138,6291,6358,7714,9267
