Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,359.600,5.367,0.383,3.545,6.141,6.562,6.752,6.901,10.549,12.526,0.186
5,548.000,3.471,0.291,3.430,3.497,3.576,3.701,3.776,4.240,7.933,0.288
10,518.800,3.612,0.279,3.422,3.491,3.565,3.685,3.753,5.210,45.138,0.277
15,450.200,4.190,0.187,3.484,3.564,3.908,6.543,6.943,11.032,43.850,0.239
20,520.200,3.511,0.256,3.464,3.538,3.626,3.756,3.835,4.958,7.795,0.285
25,534.000,3.502,0.247,3.447,3.515,3.592,3.714,3.785,5.391,10.669,0.286
30,487.200,3.751,0.246,3.452,3.530,3.671,4.301,5.911,7.074,11.245,0.267
35,546.000,3.513,0.216,3.437,3.500,3.565,3.691,3.758,5.283,12.881,0.285
40,531.400,3.465,0.174,3.416,3.478,3.548,3.692,3.758,5.251,13.408,0.289
45,440.600,4.294,0.172,3.496,3.576,3.712,5.427,10.789,13.771,31.578,0.233
50,303.200,6.213,0.327,6.109,6.206,6.310,6.492,7.660,10.681,11.849,0.161
55,292.400,6.258,0.356,6.220,6.361,6.504,6.636,6.719,8.102,11.841,0.160
60,293.000,6.390,0.332,6.300,6.464,6.594,6.754,6.870,9.001,10.478,0.156
65,304.400,6.047,0.144,6.013,6.131,6.237,6.369,6.456,7.805,10.133,0.165
70,304.000,6.211,0.242,5.981,6.082,6.199,6.345,7.337,10.518,35.598,0.161
75,260.600,7.074,0.313,6.100,6.254,6.485,10.600,12.154,17.548,38.901,0.141
80,287.400,6.372,0.296,6.227,6.327,6.457,6.635,7.879,10.285,12.676,0.157
85,294.000,6.391,0.179,6.260,6.398,6.555,6.717,7.113,9.312,19.157,0.156
90,284.600,6.459,0.290,6.386,6.514,6.634,6.765,6.946,9.553,10.902,0.155
95,303.800,6.231,0.213,6.120,6.232,6.423,6.593,6.754,9.115,10.810,0.160
100,304.200,6.187,0.308,6.007,6.120,6.238,6.371,6.485,11.025,20.796,0.162
105,265.400,7.084,0.316,5.934,6.161,6.377,10.657,12.469,26.024,37.690,0.141
110,301.200,6.340,0.303,6.232,6.354,6.473,6.626,7.413,10.925,12.752,0.158
115,297.200,6.278,0.232,6.203,6.307,6.449,6.563,6.685,8.410,11.727,0.159
120,281.000,6.421,0.204,6.357,6.477,6.596,6.733,6.862,9.543,11.550,0.156
125,298.000,6.340,0.203,6.190,6.431,6.581,6.764,6.846,8.471,12.986,0.158
130,300.800,6.164,0.255,6.027,6.099,6.203,6.351,6.460,9.434,19.209,0.162
135,270.000,7.205,0.259,6.200,6.447,6.717,10.642,11.907,19.524,32.100,0.139
140,301.000,6.353,0.234,6.185,6.360,6.535,6.688,7.796,9.560,26.775,0.157
145,304.400,6.245,0.305,6.211,6.285,6.393,6.521,6.678,9.277,10.800,0.160
150,282.600,6.438,0.334,6.302,6.433,6.568,6.704,6.874,9.519,10.366,0.155
155,295.000,6.560,0.246,6.406,6.535,6.648,6.806,7.207,9.645,11.424,0.152
160,308.000,6.090,0.239,6.046,6.152,6.257,6.400,6.476,8.538,10.137,0.164
165,253.600,6.954,0.181,6.135,6.253,6.441,9.424,11.440,17.142,32.498,0.144
170,286.200,6.476,0.193,6.202,6.424,6.589,6.832,8.308,12.229,20.598,0.154
175,301.400,6.243,0.214,6.153,6.230,6.333,6.482,6.608,8.796,13.105,0.160
180,312.600,6.228,0.290,6.159,6.281,6.452,6.620,6.736,9.324,18.928,0.161
185,282.200,6.450,0.343,6.348,6.480,6.607,6.788,6.961,8.381,10.934,0.155
190,310.400,6.266,0.198,6.100,6.237,6.489,6.692,6.933,9.345,10.441,0.160
