Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,502.400,6.523,4.824,6.295,6.496,6.619,6.751,6.965,9.232,11.899,0.153
5,528.200,6.217,4.412,6.019,6.121,6.246,6.394,6.654,9.947,17.283,0.161
10,537.000,6.217,4.529,6.019,6.147,6.268,6.420,6.584,9.185,14.706,0.161
15,668.200,4.870,2.331,3.475,3.621,6.131,6.331,6.470,13.417,29.761,0.205
20,796.400,4.150,2.384,3.469,3.576,3.969,6.492,6.883,9.535,45.382,0.241
25,923.200,3.582,2.432,3.507,3.585,3.667,3.807,3.883,4.990,7.746,0.279
30,910.200,3.588,2.349,3.471,3.547,3.624,3.752,3.826,5.791,15.832,0.279
35,861.600,3.793,2.275,3.458,3.547,3.687,4.329,6.584,7.187,12.527,0.264
40,941.600,3.572,2.287,3.445,3.510,3.586,3.727,3.810,6.368,11.884,0.280
45,952.400,3.536,2.389,3.434,3.492,3.564,3.718,3.812,5.220,11.515,0.283
50,920.400,3.530,2.460,3.447,3.517,3.597,3.733,3.800,4.736,9.197,0.283
55,870.800,3.773,2.337,3.457,3.530,3.644,4.073,6.385,7.510,11.613,0.265
60,945.000,3.526,2.392,3.455,3.518,3.588,3.705,3.765,5.207,7.553,0.284
65,885.600,3.750,2.329,3.453,3.516,3.599,3.860,5.466,6.509,25.728,0.267
70,454.000,7.542,5.149,6.214,6.380,6.614,11.029,12.481,26.392,59.118,0.133
75,492.800,6.679,5.311,6.348,6.508,6.659,6.839,8.237,12.392,16.297,0.150
80,519.000,6.258,4.989,6.069,6.182,6.298,6.472,6.998,9.314,12.019,0.160
85,542.600,6.237,4.948,6.068,6.185,6.300,6.457,6.551,9.201,14.500,0.160
90,540.200,6.243,4.973,6.079,6.196,6.327,6.467,6.598,8.101,10.105,0.160
95,527.800,6.364,4.632,6.106,6.369,6.569,6.728,6.845,9.729,20.296,0.157
100,454.000,7.251,5.392,6.281,6.397,6.615,10.186,11.440,19.290,39.393,0.138
105,496.800,6.637,5.431,6.391,6.498,6.644,6.810,8.036,11.102,11.545,0.151
110,531.200,6.364,5.102,6.118,6.229,6.421,6.582,6.799,9.957,17.159,0.157
115,535.000,6.240,5.007,6.041,6.158,6.292,6.425,6.603,10.211,12.244,0.160
120,538.400,6.197,4.885,6.061,6.162,6.266,6.420,6.500,7.997,11.158,0.161
125,501.600,6.441,4.388,6.248,6.427,6.606,6.771,6.927,9.427,11.864,0.155
130,470.400,7.172,4.282,6.060,6.254,6.539,10.722,12.224,19.817,38.585,0.139
135,502.200,6.560,5.230,6.271,6.408,6.527,6.735,7.873,10.534,28.635,0.152
140,512.600,6.500,5.117,6.169,6.317,6.541,6.719,7.248,9.495,38.610,0.154
145,539.000,6.201,4.976,6.004,6.114,6.240,6.405,6.588,9.292,11.875,0.161
150,530.200,6.197,5.134,6.064,6.151,6.252,6.382,6.472,7.944,9.970,0.161
155,528.200,6.369,5.134,6.141,6.281,6.480,6.643,6.922,9.334,10.475,0.157
160,472.600,7.277,4.458,6.204,6.385,6.599,10.601,12.305,18.428,31.725,0.137
165,502.600,6.625,5.366,6.303,6.420,6.608,6.837,7.984,11.059,31.446,0.151
170,482.000,6.629,5.040,6.257,6.469,6.623,6.801,7.081,9.855,31.955,0.151
175,535.800,6.209,4.637,6.014,6.112,6.219,6.360,6.641,9.987,17.348,0.161
180,537.600,6.187,4.794,6.046,6.159,6.258,6.360,6.490,8.028,10.511,0.162
185,543.200,6.278,4.977,6.111,6.239,6.356,6.517,6.638,9.118,10.320,0.159
190,467.600,7.243,5.075,6.228,6.368,6.631,9.760,11.971,19.647,49.604,0.138
195,495.000,6.556,5.270,6.249,6.361,6.513,6.681,7.854,10.271,33.419,0.153
200,497.600,6.655,5.175,6.335,6.490,6.619,6.813,7.585,12.214,28.228,0.150
205,537.200,6.219,5.020,6.037,6.148,6.251,6.412,6.562,9.586,11.824,0.161
210,537.400,6.199,4.556,6.031,6.171,6.286,6.433,6.552,8.167,10.140,0.161
215,542.400,6.233,5.088,6.094,6.174,6.267,6.433,6.559,8.999,10.785,0.160
220,469.200,7.305,4.785,6.165,6.258,6.455,10.879,12.293,19.686,46.626,0.137
225,518.800,6.391,5.149,6.165,6.235,6.385,6.614,7.564,9.352,29.984,0.156
230,492.000,6.660,4.040,6.363,6.464,6.581,6.731,6.878,10.578,40.349,0.150
235,541.200,6.215,4.943,6.012,6.123,6.222,6.392,6.575,9.200,17.281,0.161
240,547.800,6.183,5.117,6.026,6.143,6.237,6.366,6.511,8.682,10.207,0.162
245,504.400,6.467,4.786,6.055,6.146,6.278,6.465,7.883,14.683,29.370,0.155
250,484.600,7.053,5.254,6.227,6.329,6.532,8.515,10.323,17.593,56.110,0.142
255,531.000,6.353,5.122,6.186,6.268,6.389,6.549,6.757,9.223,10.943,0.157
260,489.600,6.644,5.345,6.317,6.453,6.593,6.781,7.758,12.578,33.980,0.151
265,540.200,6.324,5.194,6.090,6.198,6.413,6.620,6.833,9.181,19.085,0.158
270,554.600,6.164,5.120,6.000,6.128,6.245,6.343,6.474,7.969,10.297,0.162
