Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1801.200,5.549,0.105,6.276,6.466,6.574,6.715,6.881,9.433,13.605,0.180
5,1919.400,5.205,0.100,5.944,6.131,6.236,6.417,6.535,8.332,11.264,0.192
10,1895.000,5.273,0.109,5.955,6.092,6.248,6.395,6.495,9.225,12.738,0.190
15,1830.000,5.462,0.101,6.031,6.205,6.503,6.657,6.821,11.394,26.863,0.183
20,2551.400,3.913,0.095,3.396,3.541,5.234,6.589,6.839,10.580,43.432,0.256
25,3266.600,3.058,0.088,3.353,3.502,3.562,3.644,3.815,6.767,12.712,0.327
30,3305.600,3.020,0.090,3.350,3.514,3.584,3.717,3.800,5.334,11.106,0.331
35,3299.000,3.027,0.073,3.360,3.538,3.617,3.756,3.843,5.303,7.747,0.330
40,3083.400,3.238,0.095,3.393,3.556,3.635,4.018,5.590,7.043,13.527,0.309
45,3317.200,3.010,0.083,3.353,3.542,3.610,3.726,3.846,5.200,8.371,0.332
50,3273.400,3.051,0.091,3.397,3.567,3.633,3.766,3.862,4.602,7.587,0.328
55,3086.200,3.237,0.080,3.388,3.554,3.632,3.933,5.793,7.184,11.192,0.309
60,3298.200,3.029,0.087,3.387,3.545,3.621,3.701,3.817,4.238,7.615,0.330
65,3350.600,2.982,0.091,3.359,3.501,3.563,3.671,3.755,4.003,7.574,0.335
70,2168.800,4.610,0.092,3.422,3.556,6.269,6.677,10.787,19.327,38.410,0.217
75,1743.200,5.736,0.104,6.231,6.419,6.615,6.878,9.135,12.143,15.088,0.174
80,1818.600,5.497,0.105,6.148,6.393,6.611,6.788,6.923,9.887,16.529,0.182
85,1943.000,5.144,0.095,5.895,6.062,6.151,6.298,6.402,7.829,9.982,0.194
90,1901.400,5.258,0.102,5.991,6.156,6.266,6.393,6.477,7.910,13.536,0.190
95,1885.400,5.303,0.091,6.042,6.213,6.343,6.533,6.710,8.131,10.577,0.189
100,1623.000,6.157,0.100,5.285,6.442,6.706,9.689,12.025,20.013,28.742,0.162
105,1853.600,5.395,0.105,6.102,6.283,6.461,6.614,7.692,9.557,12.483,0.185
110,1797.600,5.560,0.107,6.300,6.492,6.619,6.788,6.906,10.408,22.998,0.180
