Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,570.400,5.603,0.353,3.689,6.316,6.558,6.733,6.870,10.614,12.727,0.178
5,938.000,3.481,0.294,3.446,3.508,3.579,3.689,3.761,5.199,8.050,0.287
10,928.200,3.533,0.261,3.483,3.548,3.620,3.746,3.817,5.178,14.016,0.283
15,809.000,4.021,0.242,3.477,3.577,3.906,6.503,6.962,9.290,11.536,0.249
20,927.000,3.483,0.256,3.449,3.515,3.613,3.730,3.807,5.153,7.544,0.287
25,919.000,3.546,0.269,3.490,3.572,3.655,3.810,3.916,5.312,7.817,0.282
30,827.800,3.808,0.242,3.513,3.583,3.752,4.294,5.972,7.774,13.993,0.263
35,934.000,3.543,0.270,3.499,3.576,3.653,3.800,3.861,4.072,7.595,0.282
40,916.400,3.529,0.258,3.458,3.524,3.591,3.694,3.779,5.509,10.889,0.283
45,877.600,3.766,0.248,3.517,3.589,3.724,4.346,5.744,7.127,10.098,0.266
50,753.200,4.374,0.252,3.541,3.627,5.564,6.377,6.526,8.302,29.770,0.229
55,533.000,6.266,0.382,6.183,6.265,6.380,6.540,6.716,9.343,11.949,0.160
60,519.800,6.277,0.331,6.178,6.272,6.456,6.599,6.800,9.126,10.745,0.159
65,505.600,6.405,0.315,6.333,6.427,6.561,6.705,6.834,9.460,14.148,0.156
70,505.400,6.374,0.320,6.174,6.390,6.537,6.714,6.886,9.637,12.760,0.157
75,486.000,6.933,0.281,6.049,6.156,6.354,10.162,11.769,17.271,40.487,0.144
80,517.800,6.275,0.335,6.126,6.303,6.505,6.667,7.546,9.690,16.013,0.159
85,531.200,6.363,0.336,6.181,6.285,6.385,6.510,7.666,11.828,20.285,0.157
90,531.200,6.241,0.313,6.155,6.228,6.323,6.459,6.555,9.194,17.546,0.160
95,516.800,6.389,0.339,6.291,6.413,6.539,6.697,6.871,8.483,11.372,0.157
100,508.000,6.474,0.288,6.374,6.496,6.601,6.762,6.887,9.741,11.700,0.154
105,449.600,7.054,0.259,6.129,6.207,6.465,10.328,11.575,18.241,41.110,0.142
110,507.200,6.264,0.318,6.096,6.199,6.359,6.602,7.585,9.381,18.862,0.160
115,523.000,6.306,0.298,6.186,6.422,6.585,6.736,6.895,9.886,20.712,0.159
120,530.600,6.302,0.297,6.217,6.289,6.400,6.586,6.813,9.761,17.186,0.159
125,512.000,6.303,0.320,6.226,6.318,6.473,6.716,6.934,8.494,10.238,0.159
130,485.400,6.734,0.281,6.348,6.422,6.545,6.702,8.202,22.063,41.685,0.148
135,498.200,6.680,0.326,6.014,6.088,6.306,9.306,10.628,12.918,18.848,0.150
140,533.000,6.163,0.313,6.063,6.150,6.251,6.388,6.778,9.758,13.214,0.162
145,508.400,6.299,0.293,6.185,6.402,6.590,6.744,6.937,9.548,20.927,0.159
150,514.600,6.316,0.319,6.254,6.343,6.436,6.572,6.701,8.263,11.250,0.158
155,516.800,6.274,0.258,6.209,6.289,6.397,6.546,6.674,9.212,10.332,0.159
160,470.200,7.221,0.258,6.356,6.481,6.665,9.531,11.650,23.112,32.443,0.138
165,528.200,6.206,0.332,6.055,6.134,6.212,6.396,7.605,10.678,11.924,0.161
170,524.600,6.189,0.314,6.091,6.183,6.274,6.420,6.578,10.269,17.687,0.162
175,524.000,6.437,0.333,6.218,6.352,6.603,6.806,7.635,11.039,17.337,0.155
180,520.400,6.307,0.331,6.129,6.339,6.503,6.722,7.020,10.970,22.881,0.159
185,546.000,6.345,0.342,6.209,6.295,6.436,6.590,7.722,10.559,12.368,0.158
190,441.800,7.196,0.293,6.222,6.316,6.528,10.057,12.339,23.338,32.434,0.139
195,521.400,6.328,0.359,6.149,6.242,6.484,6.711,7.638,9.540,13.529,0.158
200,532.800,6.200,0.361,6.053,6.157,6.288,6.481,6.942,10.040,18.585,0.161
205,532.200,6.199,0.332,6.117,6.223,6.368,6.504,6.616,9.400,12.278,0.161
210,521.800,6.260,0.279,6.123,6.401,6.572,6.702,6.893,9.492,37.395,0.160
215,523.200,6.269,0.329,6.198,6.268,6.385,6.545,6.651,9.206,17.712,0.160
220,461.800,7.085,0.338,6.200,6.317,6.540,9.974,12.053,18.119,37.046,0.141
225,502.200,6.491,0.325,6.243,6.444,6.568,6.742,7.400,10.047,19.923,0.154
230,528.400,6.147,0.341,6.036,6.122,6.215,6.321,6.502,10.069,16.274,0.163
235,547.800,6.167,0.311,6.089,6.174,6.301,6.415,6.556,9.226,17.210,0.162
240,523.200,6.421,0.303,6.198,6.419,6.591,6.793,6.976,11.386,29.761,0.156
245,529.600,6.283,0.285,6.230,6.336,6.471,6.626,6.832,9.317,10.643,0.159
250,465.000,7.142,0.274,6.209,6.342,6.527,10.173,11.952,18.106,35.948,0.140
255,496.600,6.523,0.274,6.417,6.533,6.661,6.829,8.063,9.838,12.669,0.153
260,531.600,6.224,0.270,6.049,6.154,6.285,6.517,7.476,11.426,20.782,0.161
265,540.400,6.188,0.288,6.076,6.194,6.286,6.444,6.574,9.247,17.168,0.162
270,516.400,6.331,0.311,6.165,6.302,6.518,6.682,6.891,9.860,15.332,0.158
275,519.800,6.237,0.322,6.100,6.357,6.557,6.727,6.867,8.737,33.666,0.160
280,459.000,6.943,0.305,6.228,6.315,6.556,9.551,11.100,14.364,33.902,0.144
285,494.600,6.595,0.334,6.402,6.514,6.656,6.844,8.113,11.121,12.851,0.152
290,516.000,6.384,0.305,6.111,6.300,6.538,6.736,7.082,11.838,21.766,0.157
295,551.000,6.149,0.313,6.051,6.142,6.243,6.376,6.804,9.307,14.072,0.163
