Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,518.600,3.011,0.095,0.232,0.354,6.468,6.668,6.785,8.340,10.698,0.332
5,543.200,2.901,0.124,0.201,0.256,6.103,6.262,6.338,7.731,13.351,0.345
10,532.200,2.790,0.091,0.194,0.231,6.124,6.295,6.425,7.734,13.408,0.358
15,548.200,2.753,0.095,0.194,0.238,6.137,6.514,6.692,9.881,22.479,0.363
20,740.400,2.069,0.096,0.183,0.234,3.527,5.375,6.819,7.733,58.587,0.483
25,932.000,1.629,0.080,0.176,0.230,3.522,3.606,3.719,4.007,7.756,0.614
30,941.600,1.598,0.087,0.173,0.224,3.489,3.579,3.689,3.832,10.643,0.626
35,921.200,1.691,0.086,0.186,0.239,3.514,3.644,3.853,6.720,10.892,0.591
40,905.800,1.707,0.088,0.208,0.249,3.562,3.689,3.823,6.699,15.958,0.586
45,927.600,1.632,0.085,0.199,0.247,3.557,3.650,3.746,3.951,7.564,0.613
50,912.200,1.657,0.089,0.207,0.249,3.573,3.664,3.790,4.094,8.017,0.603
55,531.600,2.917,0.098,0.212,0.255,6.169,6.482,9.870,16.466,31.382,0.343
60,515.600,2.934,0.098,0.218,0.259,6.367,6.588,6.692,8.210,12.126,0.341
65,499.000,2.950,0.093,0.208,0.255,6.484,6.633,6.745,8.106,10.401,0.339
70,511.000,2.915,0.105,0.219,0.259,6.225,6.553,6.688,7.901,14.581,0.343
75,528.000,2.784,0.098,0.216,0.255,6.113,6.263,6.359,9.041,34.342,0.359
80,533.000,2.912,0.099,0.217,0.259,6.242,6.473,6.625,8.292,27.424,0.343
85,489.200,3.229,0.090,0.216,0.257,6.268,6.575,9.576,12.274,32.504,0.310
90,520.000,2.798,0.103,0.214,0.254,6.239,6.377,6.485,7.885,10.434,0.357
95,515.400,2.845,0.103,0.214,0.251,6.400,6.581,6.674,8.042,11.136,0.352
100,497.000,2.849,0.086,0.191,0.229,6.432,6.589,6.730,8.299,10.813,0.351
105,525.200,2.758,0.104,0.188,0.221,6.043,6.180,6.310,7.745,16.196,0.363
110,515.000,2.948,0.098,0.192,0.235,6.142,6.297,6.434,12.021,41.269,0.339
115,488.400,3.133,0.109,0.189,0.229,6.296,6.578,9.476,12.890,29.493,0.319
120,537.600,2.930,0.110,0.193,0.233,6.261,6.386,6.497,7.965,10.390,0.341
125,514.400,2.818,0.099,0.185,0.223,6.320,6.489,6.587,8.094,11.437,0.355
130,505.400,2.987,0.093,0.190,0.230,6.514,6.692,6.822,8.570,17.395,0.335
135,539.200,2.848,0.093,0.192,0.234,6.113,6.314,6.484,7.609,17.161,0.351
140,477.600,3.167,0.100,0.195,0.240,6.084,6.306,9.667,16.910,26.488,0.316
145,512.800,2.836,0.100,0.187,0.224,6.315,6.605,6.764,9.816,20.797,0.353
150,511.800,2.712,0.102,0.190,0.223,6.304,6.451,6.591,8.108,10.249,0.369
155,518.600,2.840,0.103,0.187,0.226,6.275,6.377,6.515,7.934,11.383,0.352
160,507.600,2.954,0.096,0.193,0.229,6.446,6.641,6.740,8.381,11.398,0.338
165,512.000,2.931,0.099,0.186,0.229,6.211,6.526,6.625,7.927,21.140,0.341
170,495.000,3.079,0.099,0.170,0.211,6.135,6.387,9.348,12.290,26.405,0.325
175,491.600,2.909,0.095,0.173,0.213,6.275,6.584,6.701,8.718,12.672,0.344
180,531.000,2.777,0.100,0.169,0.207,6.246,6.482,6.637,8.183,25.550,0.360
185,524.200,2.803,0.108,0.185,0.225,6.223,6.353,6.467,7.847,10.538,0.357
190,533.000,2.830,0.091,0.192,0.227,6.326,6.548,6.677,8.092,10.845,0.353
195,520.000,2.969,0.090,0.180,0.236,6.416,6.598,6.722,8.306,26.228,0.337
200,466.400,3.162,0.107,0.205,0.249,6.202,6.491,10.431,12.293,24.451,0.316
